Dimension of Pascal Matrix,||LU - P|| Error,||Px - b|| Error
1,0,0.0
2,0,0.0
3,0,5.551115123125783e-17
4,0,9.036560719766055e-16
5,0,1.3159772817161405e-15
6,0,8.78695234256362e-15
7,0,1.9896334206609714e-14
8,0,5.284226856172996e-13
9,0,1.1561755572797905e-12
10,0,3.5072459777783007e-12
11,0,4.0303798891952985e-11
12,0,3.4796029029354097e-10
Dimension of Pascal Matrix,||LU - P|| Error,||Px - b|| Error
1,0,0.0
2,0,0.0
3,0,5.551115123125783e-17
4,0,9.036560719766055e-16
5,0,1.3159772817161405e-15
6,0,8.78695234256362e-15
7,0,1.9896334206609714e-14
8,0,5.284226856172996e-13
9,0,1.1561755572797905e-12
10,0,3.5072459777783007e-12
11,0,4.0303798891952985e-11
12,0,3.4796029029354097e-10
Dimension of Pascal Matrix,||LU - P|| Error,||Px - b|| Error
1,0,0.0
2,0,0.0
3,0,5.551115123125783e-17
4,0,9.036560719766055e-16
5,0,1.3159772817161405e-15
6,0,8.78695234256362e-15
7,0,1.9896334206609714e-14
8,0,5.284226856172996e-13
9,0,1.1561755572797905e-12
10,0,3.5072459777783007e-12
11,0,4.0303798891952985e-11
12,0,3.4796029029354097e-10
Dimension of Pascal Matrix,||LU - P|| Error,||Px - b|| Error
1,0,0.0
2,0,0.0
3,0,5.551115123125783e-17
4,0,9.036560719766055e-16
5,0,1.3159772817161405e-15
6,0,8.78695234256362e-15
7,0,1.9896334206609714e-14
8,0,5.284226856172996e-13
9,0,1.1561755572797905e-12
10,0,3.5072459777783007e-12
11,0,4.0303798891952985e-11
12,0,3.4796029029354097e-10
